GP	W	L	WIN%	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	+/-	label
82	45	37	.549	48.1	93.4	34.2	76.5	44.7	6.5	18.1	35.7	18.6	24.7	75.4	10.8	28.1	39.0	20.9	14.6	8.5	5.8	5.8	23.3	0.0	2.3	10
82	45	37	.549	48.2	100.5	36.2	82.9	43.7	6.3	18.3	34.3	21.9	30.2	72.5	13.8	29.0	42.8	19.1	14.3	8.7	4.2	5.0	22.0	0.0	-0.3	20
82	44	38	.537	48.5	93.0	32.5	75.2	43.2	6.6	19.2	34.4	21.3	26.9	79.2	10.6	29.5	40.1	18.2	14.3	7.5	4.4	4.9	23.0	0.1	0.8	20
82	44	38	.537	48.2	96.8	37.1	80.8	45.9	4.8	14.0	34.5	17.7	22.2	79.6	11.5	31.5	43.0	23.4	13.2	5.6	5.5	3.9	21.6	0.0	1.5	10
82	43	39	.524	48.4	99.1	35.9	82.1	43.7	6.2	17.7	34.8	21.1	26.8	78.9	11.1	30.9	42.0	20.9	15.5	9.2	3.9	4.7	22.9	0.0	-0.7	10
82	65	17	.793	48.2	112.4	38.7	84.2	46.0	15.3	42.3	36.2	19.6	25.1	78.1	9.0	34.5	43.5	21.5	13.8	8.5	4.8	4.4	19.5	20.4	8.5	30
82	59	23	.720	48.4	111.7	41.3	87.4	47.2	11.8	33.0	35.8	17.3	21.8	79.4	9.8	34.2	44.0	24.3	13.4	7.6	6.1	4.9	21.7	19.9	7.8	20
82	58	24	.707	48.1	113.5	42.8	85.1	50.3	11.3	28.9	39.1	16.6	20.3	81.5	8.4	35.1	43.5	29.3	15.4	8.0	7.5	3.7	19.6	18.5	6.0	100
82	55	27	.671	48.3	104.0	38.3	85.1	45.0	11.5	30.4	37.7	16.0	20.7	77.1	9.4	35.1	44.5	22.5	14.0	7.4	4.5	4.4	19.7	19.2	3.6	30
82	52	30	.634	48.2	109.8	40.8	86.6	47.2	11.0	29.8	36.9	17.1	22.8	75.2	10.9	36.5	47.4	27.1	16.5	8.3	5.1	5.1	22.1	20.4	4.5	20
82	50	32	.610	48.1	110.9	40.4	84.8	47.6	12.0	32.1	37.2	18.1	23.3	77.9	8.5	33.7	42.1	23.4	13.7	7.1	3.8	4.1	18.6	20.7	0.9	40
82	49	33	.598	48.2	105.6	39.3	87.0	45.2	10.3	28.1	36.6	16.7	20.9	80.0	10.2	35.3	45.5	19.5	13.5	7.0	5.2	5.1	19.5	19.1	2.6	10
82	48	34	.585	48.2	105.6	40.8	86.4	47.2	9.0	24.5	36.9	14.9	19.2	77.9	9.6	32.7	42.3	22.2	13.3	8.8	4.1	5.2	18.8	18.5	1.4	10
82	48	34	.585	48.7	111.7	42.7	88.3	48.3	10.2	28.2	36.2	16.1	20.9	77.2	8.7	35.6	44.3	26.8	14.9	8.0	5.9	4.2	19.1	20.4	1.3	20
82	48	34	.585	48.4	107.9	39.9	88.1	45.3	10.7	30.4	35.4	17.3	24.2	71.6	12.5	32.6	45.1	21.3	14.0	9.1	5.0	4.6	20.2	21.3	3.4	10
82	48	34	.585	48.2	104.1	38.3	82.9	46.2	10.8	29.6	36.6	16.8	21.5	77.9	9.0	34.2	43.3	22.4	14.7	8.6	5.1	4.6	19.6	20.5	4.3	20
82	47	35	.573	48.3	109.5	41.0	86.1	47.6	8.0	22.5	35.7	19.4	24.1	80.4	10.3	31.6	42.0	22.7	12.5	8.4	4.2	4.7	18.2	20.9	2.2	10
82	47	35	.573	48.1	102.7	39.0	85.4	45.7	8.5	24.1	35.2	16.1	20.9	77.2	10.4	33.9	44.2	22.8	13.1	7.7	5.6	3.9	17.2	19.7	2.9	10
82	46	36	.561	48.5	110.0	40.7	86.6	47.0	11.5	30.9	37.1	17.1	22.3	76.7	11.0	33.5	44.5	25.1	15.0	7.6	4.9	4.8	18.7	20.7	1.5	10
82	44	38	.537	48.6	103.4	38.8	85.3	45.5	11.0	30.6	36.0	14.7	19.5	75.5	9.3	34.2	43.5	22.7	14.4	7.6	5.3	4.6	20.1	19.4	0.5	10
82	44	38	.537	48.4	106.5	39.7	83.0	47.8	8.8	24.7	35.5	18.3	23.4	78.3	8.4	31.5	39.8	23.2	13.8	8.8	5.4	4.5	21.4	19.9	-0.3	10
82	67	15	.817	48.2	115.9	43.1	87.1	49.5	12.0	31.2	38.3	17.8	22.6	78.8	9.4	35.0	44.4	30.4	14.8	9.6	6.8	3.8	19.3	19.4	11.6	100
82	61	21	.744	48.3	105.3	39.3	83.7	46.9	9.2	23.5	39.1	17.6	22.0	79.7	10.0	33.9	43.9	23.8	13.4	8.0	5.9	4.1	18.3	19.8	7.2	30
82	55	27	.671	48.2	115.3	40.3	87.2	46.2	14.4	40.3	35.7	20.3	26.5	76.6	10.9	33.5	44.4	25.2	15.1	8.2	4.3	5.0	19.9	20.4	5.8	20
82	53	29	.646	48.2	108.0	38.6	85.1	45.4	12.0	33.4	35.9	18.7	23.2	80.7	9.1	32.9	42.0	25.2	13.3	7.5	4.1	5.2	20.6	20.3	2.6	30
